productID,model,color,gpu,cpu,ram,harddisk,OS,special_features,price
0,Dell Dell Latitude 14 Inches,,"Integrated, NVIDIA GeForce GT 720M",Core i5 / 1.7 GHz, 4 GB,500 GB,Windows 8,,180.00
1,ASUS ASUS CHROMEBOOK CX9 14 INCHES,STAR BLACK,INTEGRATED,INTEL CORE I7,16 GB,512 GB,CHROME OS,STYLUS,1211.99
2,Dell Inspiron 3511 Laptop 15.6 Inches,Black,Integrated,Core i5,32 GB ,2000 GB,Windows 10 Home,Wifi & Bluetooth,735.59
3,hp 14 Inches,,Unknown,3.7 GHz,4 GB ,,Windows 10 Home,Anti-glare,339.00
4,Dell Alienware X14 Laptop 14 Inches,Lunar Light,"Integrated, NVIDIA GeForce RTX 3060",Core i7,12 GB ,1000 GB,Windows 11 Home,,2086.99
5,"Lenovo IdeaPad 1 14ADA05 82GW009WUS 14"" Notebook 14 Inches",,"Dedicated, AMD Athlon Silver",Athlon / 1.4 GHz, 4 GB,128 GB,Windows 11 Home,,244.00
6,ASUS ZENBOOK 14 14 INCHES,,"INTEGRATED, INTEL UHD GRAPHICS",INTEL CORE I5 / 4.2 GHZ, 8 GB,512 GB,WINDOWS 10 HOME,,1099.00
7,Dell Alienware m16 Laptop 16 Inches,Black,"Integrated, NVIDIA GeForce RTX 4090",Core i9, 64 GB,2000 GB,Windows 11 Pro,,4277.34
8,Dell Alienware X17 R1 Laptop 17.3 Inches,Lunar Light,Nvidia GeForce RTX 3080,Core i7,64 GB ,2000 GB,Windows 10 Pro,Wifi & Bluetooth,3140.99
9,DELL INSPIRON 3511 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I5,16 GB,128 GB,WINDOWS 10 HOME,WIFI & BLUETOOTH,634.37
10,Dell Latitude 3520 Laptop 15.6 Inches,Black,Integrated,Core i5,16 GB ,1000 GB,Windows 10 Home,Wifi & Bluetooth,953.82
11,Dell XPS 9520 Laptop 15.6 Inches,Platinum Silver,"Integrated, NVIDIA GeForce RTX 3050 Ti",Core i9,64 GB ,2000 GB,Windows 11 Pro,,2149.99
12,Dell Latitude 5320 Laptop 13.3 Inches,Black,Integrated,Core i5,8 GB ,256 GB,Windows 11 Home,Wifi & Bluetooth,730.99
13,Dell Alienware m17 Ryzen Edition R5 Laptop 17.3 Inches,Dark Side of the Moon,Nvidia GeForce RTX 3080,AMD Ryzen 7,32 GB ,1000 GB,Windows 11 Home,Wifi & Bluetooth,2357.99
14,Dell Latitude 5520 Laptop 15.6 Inches,Black,Integrated,Core i7,64 GB,512 GB,Windows 11 Home,Wifi & Bluetooth,2567.99
15,Dell Precision 7760 Laptop 17.3 Inches,Silver,Nvidia RTX A4000,Core i7, 32 GB,512 GB,Windows 10 Pro,Wifi & Bluetooth,2891.99
16,DELL LATITUDE 5520 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I7,16 GB ,256 GB,WINDOWS 11 HOME,WIFI & BLUETOOTH,2354.99
17,HP 14 Inches,,Integrated,Core i7,32 GB ,512 GB,Windows 11 Pro,,2427.19
18,SAMSUNG NP641BEF-KA3US 14 INCHES,GRAPHITE,INTEGRATED,CORE I7, 16 GB,1 TB,WINDOWS 11 PRO,"FINGERPRINT READER, TRACKPOINT, BACKLIT KEYBOARD, ANTI GLARE COATING, MEMORY CARD SLOT",1409.99
19,Dell Latitude 7420 Laptop 14 Inches,Black,Integrated,Core i7,16 GB,512 GB,Windows 11 Home,Wifi & Bluetooth,801.99
20,Dell Latitude 15.6 Inches,Silver,Integrated,Core i7 Family,64 GB,1 TB,Windows 11 Pro,"Backlit Kb,Fingerprint",2616.99
21,Dell Latitude 14 Inches,Gray,"Integrated, UHD Graphics",Core i7 Family,32 GB ,512 GB,Windows 11 Pro,,1295.03
22,DELL 7520 15.6 INCHES,BLACK,"INTEGRATED, DEDICATED",CORE I7,32 GB ,256 GB,WINDOWS 10 PRO,TRACKPOINT,479.99
23,acer Acer Chromebook 715 15.6 Inches,grey,"Integrated, Intel UHD Graphics 620",Core i3 8130U, 4 GB,128 GB,Chrome OS,,429.99
24,DELL PRECISION 7560 LAPTOP 15.6 INCHES,SILVER,INTEGRATED,CORE I7, 32 GB,256 GB,WINDOWS 11 PRO,WIFI & BLUETOOTH,2085.99
25,HP ELITEBOOK FOLIO 14 INCHES,,"INTEGRATED, INTEL HD INTEGRATED GRAPHICS",CORE I5-4210U / 1.7 GHZ,4 GB,256 GB,WINDOWS 10 64 BIT-MULTI-LANGUAGE SUPPORTS ENGLISH/SPANISH/FRENCH,,252.98
26,Lenovo ThinkPad P15 Gen 1 with Nvidia Quadro RTX 4000 Max-Q Design 15.6 Inches,Black,"Dedicated, NVIDIA Quadro RTX 4000 with Max-Q Design 8GB GDDR6",Core i7 Family,64 GB,1 TB,Windows 10 Pro,,3999.00
27,DELL LATITUDE 14 INCHES,GRAY,INTEGRATED,CORE I7, 16 GB,256 GB,WINDOWS 11 PRO,ANTI-GLARE SCREEN,1065.99
28,DELL VULCAN 17 17.3 INCHES,GRAY,DEDICATED,INTEL CORE I7 / 4.5 GHZ,16 GB,512 GB,WINDOWS 10 HOME,,2199.00
29,RAZER BLADE 15 15.6 INCHES,BLACK,"DEDICATED, NVIDIA GEFORCE RTX 2080 SUPER",CORE I7 FAMILY / 5.1 GHZ, 16 GB,,WINDOWS 10,,3299.99
30,DELL VOSTRO 3520 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I7, 16 GB,512 GB,WINDOWS 10 HOME,WIFI & BLUETOOTH,943.69
31,LENOVO THINKPAD P15S GEN 2 15.6 INCHES,BLACK,QUADRO T500,CORE I7 FAMILY,32 GB,1 TB,WINDOWS 10 PRO,ANTI-GLARE SCREEN,1349.99
32,DELL LATITUDE 5520 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I5, 4 GB,256 GB,WINDOWS 11 HOME,WIFI & BLUETOOTH,844.58
33,HP 14 Inches,,Integrated,Celeron,,,Chrome OS,,245.01
34,DELL DELL LATITUDE 13.3 INCHES,,"INTEGRATED, INTEL IRIS",CORE I5 / 2.6 GHZ, 8 GB,256 GB,WINDOWS 10 PRO,,6.80
35,ASUS VivoBook S15 15.6 Inches,Transparent Silver,Dedicated,Intel Core i7,16 GB ,1 TB,Windows 10 Home,Nanoedge Bezel,933.45
36,ASUS E410MA-TB.CL464 14 INCHES,,"INTEGRATED, INTEL UHD GRAPHICS 600",CELERON / 1.1 GHZ,4 GB,64 GB,WINDOWS 11 S,,229.99
37,Dell 14 Inches,Green,"Integrated, Intel UHD Graphics",Ryzen 7, 16 GB,1 TB,Windows 11 Pro,"Backlit Keyboard,Fingerprint",847.99
38,ASUS FX506HF-ES51 15.6 INCHES,GRAPHITE BLACK,DEDICATED,CORE I5, 8 GB,512 GB,WINDOWS 11 HOME,BACKLIT KEYBOARD,699.99
39,DELL PRECISION 7780 LAPTOP 17 INCHES,SILVER,INTEGRATED,CORE I7,64 GB,512 GB,WINDOWS 11 PRO,WIFI & BLUETOOTH,2815.30
40,DELL LATITUDE 7440 LAPTOP 14 INCHES,BLACK,INTEGRATED,CORE I5, 16 GB,512 GB,WINDOWS 11 PRO,WIFI & BLUETOOTH,1230.13
41,DELL LATITUDE 7430 LAPTOP 14 INCHES,ALUMINUM,"INTEGRATED, INTEL INTEGRATED GRAPHICS",CORE I7,16 GB,1000 GB,WINDOWS 11 PRO,,941.99
42,CTL CHROMEBOOK 14 INCHES,,"UHD GRAPHICS, INTEL UHD GRAPHICS",CELERON,8 GB,64 GB,CHROME OS,INFORMATION NOT AVAILABLE,417.99
43,DELL LATITUDE 5520 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I7,32 GB ,2000 GB,WINDOWS 11 PRO,WIFI & BLUETOOTH,2872.99
44,DELL LATITUDE 5520 15.6 INCHES,,"INTEGRATED, INTEL IRIS XE GRAPHICS",CORE I7 / 3 GHZ, 16 GB,2 TB,WINDOWS 11 PRO,,1853.99
45,DELL PRECISION 3581 LAPTOP 15.6 INCHES,SILVER,NVIDIA RTX 2000 ADA,CORE I9,16 GB,512 GB,WINDOWS 11 PRO,WIFI & BLUETOOTH,2268.99
46,acer Acer 315 15.6 Inches,Pure Silver,"Integrated, Intel UHD Graphics 600",1.2GHz Cortex A8 Processor, 4 GB,64 GB,Chrome OS,,129.99
47,ROKC 15.6 INCHES,BLUE,"INTEGRATED, INTEL",PENTIUM / 1.1 GHZ,20 GB,1152 GB,WINDOWS 11,,389.99
