Invoice ID,Branch,Customer type,Gender
339-38-9982,B,Member,Male
794-32-2436,B,Member,Male
804-38-3935,A,Member,Male
305-18-3552,B,Member,Male
280-17-4359,C,Member,Male
416-17-9926,A,Member,Female
562-12-5430,A,Member,Female
307-04-2070,A,Member,Female
405-31-3305,A,Member,Male
526-86-8552,C,Member,Female
503-07-0930,C,Member,Male
748-45-2862,A,Member,Female
256-58-3609,C,Member,Male
373-88-1424,C,Member,Male
222-42-0244,B,Member,Female
232-16-2483,C,Member,Female
442-44-6497,C,Member,Male
340-21-9136,A,Member,Female
627-95-3243,B,Member,Female
263-12-5321,A,Member,Male
590-83-4591,B,Member,Male
609-81-8548,A,Member,Female
662-47-5456,C,Member,Male
355-53-5943,A,Member,Female
725-67-2480,B,Member,Female
880-46-5796,A,Member,Male
861-77-0145,C,Member,Male
321-49-7382,B,Member,Male
242-11-3142,B,Member,Male
816-72-8853,A,Member,Female
784-08-0310,C,Member,Female
853-23-2453,B,Member,Male
815-04-6282,C,Member,Female
722-13-2115,C,Member,Male
493-65-6248,C,Member,Female
438-01-4015,B,Member,Female
641-51-2661,C,Member,Female
401-09-4232,C,Member,Male
139-20-0155,B,Member,Male
528-14-9470,A,Member,Male
288-38-3758,C,Member,Female
377-79-7592,C,Member,Female
133-77-3154,B,Member,Male
413-20-6708,C,Member,Female
257-73-1380,C,Member,Male
785-96-0615,B,Member,Female
253-12-6086,A,Member,Female
250-17-5703,A,Member,Male
345-68-9016,C,Member,Female
339-12-4827,B,Member,Female
828-46-6863,A,Member,Male
182-88-2763,B,Member,Male
521-18-7827,C,Member,Male
490-95-0021,B,Member,Female
198-84-7132,B,Member,Male
263-87-5680,C,Member,Female
767-54-1907,B,Member,Female
556-86-3144,C,Member,Female
821-14-9046,B,Member,Female
351-62-0822,B,Member,Female
149-71-6266,B,Member,Male
235-46-8343,C,Member,Male
828-61-5674,A,Member,Male
782-95-9291,A,Member,Male
600-38-9738,C,Member,Male
549-59-1358,A,Member,Male
554-53-8700,C,Member,Male
811-35-1094,B,Member,Male
394-41-0748,C,Member,Female
