Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,1
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,1
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1
