AGE,GENDER,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_YEAR,MARRIED,CHILDREN,ANNUAL_MILEAGE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,FREQUENT_ACCIDENT
65+,female,10-19y,university,upper class,0.459010522,before 2015,True,True,10000.0,1,0,0,False,Never
40-64,male,20-29y,university,upper class,0.644758874,after 2015,False,False,15000.0,4,1,4,False,Often
16-25,male,0-9y,university,upper class,0.531614228,after 2015,False,False,15000.0,0,0,0,False,Never
26-39,male,0-9y,high school,working class,0.470393945,before 2015,True,True,8000.0,0,0,0,False,Never
16-25,male,0-9y,none,poverty,,before 2015,False,False,17000.0,0,0,0,False,Never
26-39,male,0-9y,none,poverty,0.454177304,before 2015,False,False,15000.0,0,0,0,True,Never
65+,female,30y+,high school,upper class,0.688290795,before 2015,True,True,13000.0,2,0,2,False,Rarely
16-25,male,0-9y,university,poverty,0.276235006,before 2015,False,True,13000.0,0,0,0,True,Never
65+,female,30y+,high school,upper class,0.652066551,after 2015,False,True,15000.0,3,0,0,False,Never
26-39,male,10-19y,university,upper class,,after 2015,False,True,10000.0,0,0,0,False,Never
26-39,female,10-19y,none,poverty,,before 2015,False,True,11000.0,1,0,0,False,Never
65+,female,30y+,university,upper class,0.711753228,before 2015,True,True,10000.0,2,0,0,False,Never
40-64,female,20-29y,university,upper class,0.523569149,after 2015,True,True,9000.0,0,1,1,False,Rarely
16-25,female,0-9y,university,middle class,0.554203903,after 2015,False,False,11000.0,0,0,0,True,Never
26-39,female,10-19y,university,upper class,0.609258554,after 2015,True,True,10000.0,0,0,1,False,Rarely
65+,female,30y+,university,upper class,,before 2015,False,True,15000.0,1,2,0,False,Never
26-39,male,0-9y,none,poverty,0.441567371,before 2015,False,True,14000.0,0,0,0,False,Never
40-64,male,20-29y,university,upper class,0.494258635,before 2015,False,True,10000.0,5,0,1,False,Rarely
26-39,female,10-19y,high school,poverty,0.446554742,before 2015,True,True,11000.0,2,0,2,True,Rarely
65+,female,30y+,high school,upper class,0.627568734,after 2015,False,True,17000.0,1,1,1,False,Rarely
40-64,male,10-19y,none,middle class,0.451784663,before 2015,True,False,13000.0,0,0,1,False,Rarely
26-39,male,10-19y,high school,middle class,0.39684102,before 2015,False,False,13000.0,0,1,0,True,Never
16-25,female,0-9y,university,middle class,0.579932504,before 2015,False,False,13000.0,0,0,0,True,Never
65+,female,30y+,university,upper class,0.55379838,after 2015,True,True,11000.0,1,0,1,False,Rarely
16-25,male,0-9y,high school,poverty,0.226620419,before 2015,False,True,12000.0,0,0,0,True,Never
40-64,male,20-29y,university,upper class,0.522768025,before 2015,False,True,7000.0,11,0,2,True,Rarely
26-39,female,10-19y,none,working class,0.348659127,before 2015,True,False,12000.0,0,0,0,True,Never
40-64,male,10-19y,university,upper class,0.685398172,before 2015,True,True,8000.0,3,0,2,False,Rarely
26-39,male,10-19y,university,middle class,0.499039038,before 2015,False,True,9000.0,2,1,2,False,Rarely
65+,female,10-19y,university,upper class,0.601312251,before 2015,True,True,8000.0,2,0,0,False,Never
26-39,female,10-19y,high school,working class,0.375282549,after 2015,False,False,16000.0,0,1,0,True,Never
65+,female,30y+,university,upper class,0.775747366,after 2015,False,True,15000.0,1,0,0,False,Never
26-39,female,10-19y,high school,middle class,0.413773969,after 2015,True,False,11000.0,0,1,1,False,Rarely
26-39,female,0-9y,none,working class,0.50814617,before 2015,False,False,16000.0,0,0,0,True,Never
40-64,female,10-19y,none,working class,0.491689294,before 2015,False,True,12000.0,1,0,0,False,Never
40-64,male,10-19y,university,upper class,0.590553939,after 2015,False,True,7000.0,4,0,1,True,Rarely
40-64,female,20-29y,none,working class,0.400177758,after 2015,False,True,11000.0,1,0,1,True,Rarely
65+,male,30y+,university,upper class,0.450795028,after 2015,False,True,13000.0,9,3,3,False,Often
65+,male,30y+,high school,upper class,0.728075602,after 2015,True,False,13000.0,4,1,3,False,Often
40-64,female,20-29y,university,upper class,0.560818557,after 2015,True,True,11000.0,1,0,1,False,Rarely
16-25,male,0-9y,high school,poverty,0.327760276,before 2015,False,False,16000.0,0,0,0,True,Never
16-25,female,0-9y,none,poverty,0.394331912,before 2015,False,False,20000.0,0,0,0,True,Never
40-64,female,0-9y,high school,upper class,0.49668658,after 2015,False,True,14000.0,0,0,0,False,Never
40-64,female,20-29y,university,upper class,0.533130592,before 2015,True,False,6000.0,2,1,1,False,Rarely
40-64,female,20-29y,university,middle class,0.503983295,before 2015,False,True,16000.0,2,0,2,False,Rarely
26-39,male,10-19y,high school,middle class,0.504634369,before 2015,False,True,,4,1,1,True,Rarely
65+,female,30y+,university,upper class,0.765637296,before 2015,True,True,6000.0,6,0,1,False,Rarely
