ID,AGE,GENDER,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
101,65+,female,10-19y,university,upper class,0.459010522,before 2015,1,1,92101,10000.0,sedan,1,0,0,0
125,40-64,male,20-29y,university,upper class,0.644758874,after 2015,0,0,10238,15000.0,sedan,4,1,4,0
166,16-25,male,0-9y,university,upper class,0.531614228,after 2015,0,0,10238,15000.0,sedan,0,0,0,0
186,26-39,male,0-9y,high school,working class,0.470393945,before 2015,1,1,32765,8000.0,sedan,0,0,0,0
217,16-25,male,0-9y,none,poverty,,before 2015,0,0,10238,17000.0,sedan,0,0,0,0
226,26-39,male,0-9y,none,poverty,0.454177304,before 2015,0,0,10238,15000.0,sedan,0,0,0,1
244,65+,female,30y+,high school,upper class,0.688290795,before 2015,1,1,32765,13000.0,sedan,2,0,2,0
286,16-25,male,0-9y,university,poverty,0.276235006,before 2015,0,1,10238,13000.0,sedan,0,0,0,1
381,65+,female,30y+,high school,upper class,0.652066551,after 2015,0,1,10238,15000.0,sedan,3,0,0,0
542,26-39,male,10-19y,university,upper class,,after 2015,0,1,10238,10000.0,sedan,0,0,0,0
603,26-39,female,10-19y,none,poverty,,before 2015,0,1,10238,11000.0,sports car,1,0,0,0
775,65+,female,30y+,university,upper class,0.711753228,before 2015,1,1,10238,10000.0,sedan,2,0,0,0
793,40-64,female,20-29y,university,upper class,0.523569149,after 2015,1,1,10238,9000.0,sedan,0,1,1,0
864,16-25,female,0-9y,university,middle class,0.554203903,after 2015,0,0,32765,11000.0,sedan,0,0,0,1
938,26-39,female,10-19y,university,upper class,0.609258554,after 2015,1,1,10238,10000.0,sedan,0,0,1,0
1003,65+,female,30y+,university,upper class,,before 2015,0,1,32765,15000.0,sedan,1,2,0,0
1063,26-39,male,0-9y,none,poverty,0.441567371,before 2015,0,1,10238,14000.0,sedan,0,0,0,0
1126,40-64,male,20-29y,university,upper class,0.494258635,before 2015,0,1,32765,10000.0,sedan,5,0,1,0
1860,26-39,female,10-19y,high school,poverty,0.446554742,before 2015,1,1,10238,11000.0,sedan,2,0,2,1
1924,65+,female,30y+,high school,upper class,0.627568734,after 2015,0,1,10238,17000.0,sedan,1,1,1,0
2087,40-64,male,10-19y,none,middle class,0.451784663,before 2015,1,0,10238,13000.0,sedan,0,0,1,0
2375,26-39,male,10-19y,high school,middle class,0.39684102,before 2015,0,0,10238,13000.0,sedan,0,1,0,1
2387,16-25,female,0-9y,university,middle class,0.579932504,before 2015,0,0,10238,13000.0,sedan,0,0,0,1
2590,65+,female,30y+,university,upper class,0.55379838,after 2015,1,1,10238,11000.0,sedan,1,0,1,0
2654,16-25,male,0-9y,high school,poverty,0.226620419,before 2015,0,1,10238,12000.0,sedan,0,0,0,1
2698,40-64,male,20-29y,university,upper class,0.522768025,before 2015,0,1,32765,7000.0,sedan,11,0,2,1
2743,26-39,female,10-19y,none,working class,0.348659127,before 2015,1,0,21217,12000.0,sedan,0,0,0,1
2906,40-64,male,10-19y,university,upper class,0.685398172,before 2015,1,1,10238,8000.0,sedan,3,0,2,0
3004,26-39,male,10-19y,university,middle class,0.499039038,before 2015,0,1,32765,9000.0,sedan,2,1,2,0
3025,65+,female,10-19y,university,upper class,0.601312251,before 2015,1,1,32765,8000.0,sedan,2,0,0,0
3038,26-39,female,10-19y,high school,working class,0.375282549,after 2015,0,0,21217,16000.0,sedan,0,1,0,1
3114,65+,female,30y+,university,upper class,0.775747366,after 2015,0,1,10238,15000.0,sedan,1,0,0,0
3131,26-39,female,10-19y,high school,middle class,0.413773969,after 2015,1,0,10238,11000.0,sedan,0,1,1,0
3141,26-39,female,0-9y,none,working class,0.50814617,before 2015,0,0,10238,16000.0,sedan,0,0,0,1
3170,40-64,female,10-19y,none,working class,0.491689294,before 2015,0,1,10238,12000.0,sedan,1,0,0,0
3308,40-64,male,10-19y,university,upper class,0.590553939,after 2015,0,1,32765,7000.0,sedan,4,0,1,1
3396,40-64,female,20-29y,none,working class,0.400177758,after 2015,0,1,21217,11000.0,sedan,1,0,1,1
3413,65+,male,30y+,university,upper class,0.450795028,after 2015,0,1,32765,13000.0,sedan,9,3,3,0
3526,65+,male,30y+,high school,upper class,0.728075602,after 2015,1,0,10238,13000.0,sedan,4,1,3,0
3626,40-64,female,20-29y,university,upper class,0.560818557,after 2015,1,1,10238,11000.0,sedan,1,0,1,0
3643,16-25,male,0-9y,high school,poverty,0.327760276,before 2015,0,0,10238,16000.0,sedan,0,0,0,1
3794,16-25,female,0-9y,none,poverty,0.394331912,before 2015,0,0,10238,20000.0,sedan,0,0,0,1
